,A,B,C,D,YLD
1,30,6.5,18,35,60
2,55,6.5,0,35,27
3,55,6.5,18,55,9
4,30,8,18,55,90
5,55,8,18,35,57
6,30,8,0,35,60
7,55,8,0,55,33
8,30,6.5,0,55,13
9,30,6.5,0,55,33
10,55,6.5,18,55,32
11,30,6.5,18,55,58
12,30,8,18,55,54
13,55,8,0,55,21.6
14,55,6.5,0,35,27
15,30,8,0,55,64
16,55,8,18,35,47
17,30,6.5,18,35,45
18,55,6.5,0,35,25
19,55,6.5,18,55,26
20,30,8,18,55,23
21,55,8,18,35,48
22,30,8,0,35,42
23,55,8,0,55,15
24,30,6.5,0,55,19
25,30,6.5,0,55,26
26,55,6.5,18,55,0
27,30,6.5,18,55,56
28,30,8,18,55,34
29,55,8,0,55,12
30,55,6.5,0,35,25
31,30,8,0,55,50
32,55,8,18,35,36
